code,name,geocoder_address,address,locality,municipality,district,postal_code,nature,cicle
340492,"Escola Básica Cardoso Lopes, Amadora","Avenida António Ribeiro Chiado, 2700-646 AMADORA, Amadora, Portugal",Avenida António Ribeiro Chiado,AMADORA,Amadora,Lisboa,2700-646,Publico,2º Ciclo|3º Ciclo
803767,Jardim de Infância Meninos Rabinos,"Rua da Madressilva, nº 1 - Botequim, 2820-147 CHARNECA DA CAPARICA, Almada, Portugal","Rua da Madressilva, nº 1 - Botequim",CHARNECA DA CAPARICA,Almada,Setúbal,2820-147,Privado,Pré-escolar
517707,Jardim De Infância Do Posto Assistência Social Da Malveira,"Largo Das Escolas, N.º 3, 2665-225 MALVEIRA, Mafra, Portugal","Largo Das Escolas, N.º 3",MALVEIRA,Mafra,Lisboa,2665-225,Privado,Pré-escolar|1º Ciclo
621249,"Jardim de Infância de Montelavar, Sintra","R. Miguel da Silva Correia, 2715-683 MONTELAVAR, Sintra, Portugal",R. Miguel da Silva Correia,MONTELAVAR,Sintra,Lisboa,2715-683,Publico,Pré-escolar
200840,"Escola Básica de Aiana de Cima, Sesimbra","R. da Escola, 2970-015 SESIMBRA, Sesimbra, Portugal",R. da Escola,SESIMBRA,Sesimbra,Setúbal,2970-015,Publico,Pré-escolar|1º Ciclo
522028,Jardim de Infância Gente Pequena,"Av. Professor Bento de Jesus Caraça, nº 7 C e nº7D, 2725-032 MEM MARTINS, Sintra, Portugal","Av. Professor Bento de Jesus Caraça, nº 7 C e nº7D",MEM MARTINS,Sintra,Lisboa,2725-032,Privado,Pré-escolar
523161,Jardim de Infância do Centro Social Paroquial Nossa Senhora de Porto Salvo,"Rua Abel Fontoura Da Costa N.º 9, 2740-211 PORTO SALVO, Oeiras, Portugal",Rua Abel Fontoura Da Costa N.º 9,PORTO SALVO,Oeiras,Lisboa,2740-211,Privado,Pré-escolar
642381,"Jardim de Infância do Cerrado da Bica, Mina, Amadora","Praceta Cerrado da Bica - Mina, 2700-195 AMADORA, Amadora, Portugal",Praceta Cerrado da Bica - Mina,AMADORA,Amadora,Lisboa,2700-195,Publico,Pré-escolar
342166,"Escola Básica Professor Egas Moniz, Massamá, Sintra","Avenida Azedo Gneco, 2745-000 QUELUZ, Sintra, Portugal",Avenida Azedo Gneco,QUELUZ,Sintra,Lisboa,2745-000,Publico,2º Ciclo|3º Ciclo
608464,"Jardim de Infância n.º 1 de Casal de Cambra, Sintra","Av. do Brasil, 2605-871 CASAL DE CAMBRA, Sintra, Portugal",Av. do Brasil,CASAL DE CAMBRA,Sintra,Lisboa,2605-871,Publico,Pré-escolar
800231,Jardim De Infância Do Centro Comunitário Renascer - Centro Social Paroquial Padre Ricardo Gameiro,"Rua Almada Negreiros - Quinta Do Chegadinho, 2810-017 ALMADA, Almada, Portugal",Rua Almada Negreiros - Quinta Do Chegadinho,ALMADA,Almada,Setúbal,2810-017,Privado,Pré-escolar
244776,"Escola Básica do Cobre, Cascais","R. Carlos Bonvalot, 2750-556 CASCAIS, Cascais, Portugal",R. Carlos Bonvalot,CASCAIS,Cascais,Lisboa,2750-556,Publico,Pré-escolar|1º Ciclo
251318,"Escola Básica da Quinta da Alegria, Moscavide, Loures","Qt. da Alegria, 1885-001 MOSCAVIDE, Loures, Portugal",Qt. da Alegria,MOSCAVIDE,Loures,Lisboa,1885-001,Publico,Pré-escolar|1º Ciclo
344576,"Escola Básica Professor Galopim de Carvalho, Pendão, Sintra","Largo da Boa Esperança, 2745-378 QUELUZ, Sintra, Portugal",Largo da Boa Esperança,QUELUZ,Sintra,Lisboa,2745-378,Publico,2º Ciclo|3º Ciclo
501852,Salesianos do Estoril – Escola,"Avenida Marginal Quinta de Santo António, 2765-245 ESTORIL, Cascais, Portugal",Avenida Marginal Quinta de Santo António,ESTORIL,Cascais,Lisboa,2765-245,Privado,Pré-escolar|1º Ciclo|2º Ciclo|3º Ciclo|Secundário
