stop_id,stop_name,tts_stop_name
130623,PALMELA (EN 379-2) VIV FALCÃO 713,Palmela ( Estrada Nacional 379 - 2 ) Vivenda Falcão 713
130624,PALMELA (EN 379-2) VIV FALCÃO 713,Palmela ( Estrada Nacional 379 - 2 ) Vivenda Falcão 713
130625,ÁGUAS MOURA (AV LIBER) LAVADOURO MUNICIP,Águas Moura ( Avenida Liber ) Lavadouro Municipal
130626,ÁGUAS MOURA (AV LIBER) LAVADOURO MUNICIP,Águas Moura ( Avenida Liber ) Lavadouro Municipal
130627,EN 10 (HERDADE AVESTRUZES),Estrada Nacional 10 ( Herdade Avestruzes )
130628,EN 10 (HERDADE AVESTRUZES),Estrada Nacional 10 ( Herdade Avestruzes )
130629,N10 (SILO),Estrada Nacional 10 ( Silo )
130630,N10 (SILO),Estrada Nacional 10 ( Silo )
130631,EN 10 () X HERDADE TRAVASSOS,Cruzamento Entre Estrada Nacional 10 ( ) E Herdade Travassos
130632,EN 10 () X HERDADE TRAVASSOS,Cruzamento Entre Estrada Nacional 10 ( ) E Herdade Travassos
130633,EN 10 X (KM 54000) HERDADE ZAMBUJAL,Cruzamento Entre Estrada Nacional 10 E ( Quilómetro 54000 ) Herdade Zambujal
130634,EN 10 X (KM 54000) HERDADE ZAMBUJAL,Cruzamento Entre Estrada Nacional 10 E ( Quilómetro 54000 ) Herdade Zambujal
130635,EN 10 (ESTAÇÃO CP ÁGUAS MOURA),Estrada Nacional 10 ( Estação Cp Águas Moura )
130637,EN 10 (PARAGEM CHAPARRAL),Estrada Nacional 10 ( Paragem Chaparral )
130639,EN 10 JUNTO A X R PRIMEIRO DE MAIO,Cruzamento Entre Estrada Nacional 10 Junto A E Rua Primeiro De Maio
130641,EN 10 () X GÂMBIA C- Bº BONITA,Cruzamento Entre Estrada Nacional 10 ( ) E Gâmbia C- Bairro Bonita
130643,EN 10 JUNTO A X R DA GÂMBIA,Cruzamento Entre Estrada Nacional 10 Junto A E Rua Da Gâmbia
130645,BREJOS ASSA (QTA S MIGUEL),Brejos Assa ( Quinta São Miguel )
130646,BREJOS ASSA (QTA S MIGUEL),Brejos Assa ( Quinta São Miguel )
130647,ESTR ALGERUZ X ESTR CASA GAIATO,Cruzamento Entre Estrada Algeruz E Estrada Casa Gaiato
130649,ESTR ALGERUZ (PADEIRAS) X,Estrada Algeruz ( Padeiras ) Cruzamento
130651,AIRES (RUA PARQUE),Aires ( Rua Parque )
130653,AIRES (QTA PINHAL),Aires ( Quinta Pinhal )
130654,AIRES (QTA PINHAL),Aires ( Quinta Pinhal )
130655,Bº PADRE NABETO (R GUINÉ BISSAU 133),Bairro Padre Nabeto ( Rua Guiné Bissau 133 )
130656,Bº PADRE NABETO (R GUINÉ BISSAU 133),Bairro Padre Nabeto ( Rua Guiné Bissau 133 )
130657,Bº PADRE NABETO (PCTA BRASIL),Bairro Padre Nabeto ( Praceta Brasil )
130658,Bº PADRE NABETO (PCTA BRASIL),Bairro Padre Nabeto ( Praceta Brasil )
130659,Bº PADRE NABETO (QTA FIDALGO),Bairro Padre Nabeto ( Quinta Fidalgo )
130660,Bº PADRE NABETO (QTA FIDALGO),Bairro Padre Nabeto ( Quinta Fidalgo )
130661,AIRES (AV CIDADE DA PRAIA 75),Aires ( Avenida Cidade Da Praia 75 )
130662,AIRES (AV CIDADE DA PRAIA 75),Aires ( Avenida Cidade Da Praia 75 )
130663,IGREJA STO ANT DE AIRES,Igreja Santo António De Aires
130664,IGREJA STO ANT DE AIRES,Igreja Santo António De Aires
130665,LAGAMEÇAS (SUPER CENTRO M P MARÇAL),Lagameças ( Super Centro M P Marçal )
130666,LAGAMEÇAS (SUPER CENTRO M P MARÇAL),Lagameças ( Super Centro M P Marçal )
