stop_id,tts
020327,Botequim ( Rua Botequim 872 B )
020328,Botequim ( Rua Botequim 872 B )
020329,Rua Da Bela Vista 12
020331,Charnéca De Caparíca Rua Oliveira Feijão ( Igreja )
020332,Charnéca De Caparíca Rua Oliveira Feijão ( Igreja )
020333,Charnéca De Caparíca Rua Doutora Oliveira Feijão 6 ( Rotunda )
020334,Charnéca De Caparíca Rua Doutora Oliveira Feijão 6 ( Rotunda )
020335,Charnéca De Caparíca Rua Doutora Oliveira Feijão 1074
020336,Charnéca De Caparíca Rua Doutora Oliveira Feijão 1074
020337,Charnéca De Caparíca ( Rua António Andrade ) Centro
020338,Charnéca De Caparíca ( Rua António Andrade ) Centro
020339,Charnéca De Caparíca Rua António Andrade Clinica
020340,Charnéca De Caparíca Rua António Andrade Clinica
020341,Charnéca De Caparíca ( Rua António Andrade ) Mcdonald´s
020342,Charnéca De Caparíca ( Rua António Andrade ) Mcdonald´s
020343,Charnéca De Caparíca ( Rua Antandrade ) Piscinas Municipais
020344,Charnéca De Caparíca ( Rua Antandrade ) Piscinas Municipais
020345,Rua Eugénio Salvador 21
020346,Rua Eugénio Salvador 21
020347,Rua Botequim ( Cimo Rua A-ver-o-mar )
020348,Botequim ( Avenida Elias Garcia 910 )
020349,Botequim ( Quinta Regateira 3 D )
020351,Lazarim ( Cruzamento Entre ( Rua São Macário ) E ( Rua Humberto Madeira ) )
020352,Lazarim ( Cruzamento Entre ( Rua São Macário ) E ( Rua Humberto Madeira ) )
020355,Cruzamento Entre ( Monte De Caparíca I. C. 32 ) E ( Rua Areeiro )
020356,Cruzamento Entre ( Monte De Caparíca I. C. 32 ) E ( Rua Areeiro )
020357,Monte De Caparíca ( F. C. T. ) Rotunda
020359,Monte De Caparíca Rua Alfredo Cunha ( Escola )
020361,Cruzamento Entre ( Monte De Caparíca Avenida Timor Loro Sae ( Metro ) ) E ( Fómega )
020363,Cacilhas ( Largo Alfredo Dinis Alex) Terminál ( P 19 )
020365,Rua Galileu Saúde Correia ( Correios / Serviços Municipalizados )
020366,Rua Galileu Saúde Correia ( Correios / Serviços Municipalizados )
020367,Cruzamento Entre ( Monte De Caparíca Avenida Timor Loro Sae ) E ( Porto Brandão )
020369,Estrada Nacional 10 - 1 ( Quinta Torrinha ) Grand Auditório
020371,Cruzamento Entre ( Estrada Nacional 10 - 1 ) E ( Pera )
020373,Cova ( Estrada Nacional 377 - 1 ) Quinta Morgados
020375,Cruzamento Entre ( Murfacem Quinta Zacarias ) E ( Rua Liberdade )
020376,Cruzamento Entre ( Murfacem Quinta Zacarias ) E ( Rua Liberdade )
020377,Estrada Nacional 10 - 1 ( Quinta Ribeiro ) Santa
020378,Estrada Nacional 10 - 1 ( Quinta Ribeiro ) Santa
020379,Estrada Nacional 10 - 1 ( 23 Á )
020380,Estrada Nacional 10 - 1 ( 23 Á )
020381,Trafaria ( Avenida Bulhão Pato ( Número 67 ) )
020383,Trafaria ( Avenida Bulhão Pato ( Número 29 ) )
020385,Trafaria ( Largo Porto Lisboa ) Terminal
020387,Trafaria ( Rua Liberdade ( Número 10 ) )
020389,Trafaria ( Rua Liberdade ( Número 46 ) )
020391,Estrada Nacional 10 - 1 ( Quinta Guedes )
020393,Cruzamento Entre ( Estrada Nacional 10 - 1 ) E ( Pera )
020395,Cruzamento Entre ( Torre Caparica ( Estrada Nacional 10 - 1 ) ) E ( Faculdade )
020396,Cruzamento Entre ( Torre Caparica ( Estrada Nacional 10 - 1 ) ) E ( Faculdade )
020397,Monte De Caparíca Avenida Torrado Silva ( Rotunda )
020399,Avenida Dom Nuno Álvares Pereira Práça São João Baptista
020401,Almada ( Avenida Dom Afonso Henriques 21 )
020403,Cacilhas ( Terminal ) ( P 2 )
020405,Almada ( Rua Dom João Castro ( Número 78 ) )
020407,Pragal ( Rua Direita Pragal ( Número 26 ) )
020409,Cruzamento Entre ( Lazarim ( Estrada Nacional 10 - 1 ) ) E ( Sobreda )
020411,Charnéca De Caparíca Alameda Amália Rodrigues ( Rotunda )
020412,Charnéca De Caparíca Alameda Amália Rodrigues ( Rotunda )
020413,Casal Poço ( Rua 25 Abril ( Número 64 ) )
020414,Casal Poço ( Rua 25 Abril ( Número 64 ) )
020415,Casal Poço ( Rua 25 Abril ( Número 115 ) )
020416,Casal Poço ( Rua 25 Abril ( Número 115 ) )
020417,Casal Poço ( Rua José És-tevão ( Número 4 ) )
020418,Casal Poço ( Rua José És-tevão ( Número 4 ) )
